"","Recycled Water Class/Category","Source Water Type","Water Quality Parameter","Specification","Sampling/Monitoring Requirements (Frequency of monitoring; site/ location of sample; quantification methods)*","State"
"202","Disinfected Secondary 200 (Irrigation of fodder, fiber, seed crops and food crops not intended for human consumption, orchards and vineyards with no contact with the edible portion, non-food bearing trees, nursery stock and sod farms not irrigated less than 14 days before harvest)","Municipal Wastewater","Total coliform","200 MPN/100 mL (does not exceed in more than one sample in 30-day period)","At least once daily","Minnesota"
"203","Disinfected Secondary 200 (Irrigation of fodder, fiber, seed crops and food crops not intended for human consumption, orchards and vineyards with no contact with the edible portion, non-food bearing trees, nursery stock and sod farms not irrigated less than 14 days before harvest)","Municipal Wastewater","Nitrogen","Limits for nitrogen and phosphorus are set based on agronomic needs for the site and specific crop irrigated.","Not specified","Minnesota"
"204","Disinfected Secondary 200 (Irrigation of fodder, fiber, seed crops and food crops not intended for human consumption, orchards and vineyards with no contact with the edible portion, non-food bearing trees, nursery stock and sod farms not irrigated less than 14 days before harvest)","Municipal Wastewater","Phosphorus","Limits for nitrogen and phosphorus are set based on agronomic needs for the site and specific crop irrigated.","Not specified","Minnesota"
"205","Class A-1; greater than agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Total nitrogen","=5 mg/L","Biweekly analysis","Montana"
"206","Class A-1; greater than agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Total coliform","=2.2 CFU/100 mL (7-day median)

			=23 CFU/100 mL (single sample maximum)","Weekly analysis","Montana"
"207","Class A-1; greater than agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","5-day biochemical oxygen demand (BOD5)","=10 mg/L","Measured following treatment","Montana"
"208","Class A-1; greater than agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Total suspended solids (TSS)","=10 mg/L","Measured following treatment","Montana"
"209","Class A-1; greater than agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Turbidity","=2 NTU (average)

			=5 NTU (single sample maximum)","Continuous monitoring","Montana"
"210","Class A-1; greater than agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Phosphorusa","Not specified","Not specified","Montana"
"211","Class A; at or below the agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Total coliform","=2.2 CFU/100 mL (7-day median)

			=23 CFU/100 mL (single sample maximum)","Weekly analysis","Montana"
"212","Class A; at or below the agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","5-day biochemical oxygen demand (BOD5)","=10 mg/L","Measured following treatment","Montana"
"213","Class A; at or below the agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Total suspended solids (TSS)","=10 mg/L","Measured following treatment","Montana"
"214","Class A; at or below the agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Turbidity","=2 NTU (average)

			=5 NTU (single sample maximum)","Continuous monitoring","Montana"
"215","Class A; at or below the agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Total nitrogen","Not specified","A minimum of monthly analysis during periods of use (including prior to seasonal startup)","Montana"
"216","Class A; at or below the agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of root crops and food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Phosphorusa","Not specified","Not specified","Montana"
"217","Class B-1; greater than agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Total nitrogen","=5 mg/L","Biweekly analysis","Montana"
"218","Class B-1; greater than agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Total coliform","=2.2 CFU/100 mL (7-day median)

			=23 CFU/100 mL (single sample maximum)","Weekly analysis","Montana"
"219","Class B-1; greater than agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Phosphorusa","Not specified","Not specified","Montana"
"220","Class B; at or below the agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Total coliform","=2.2 CFU/100 mL (7-day median)

			=23 CFU/100 mL (single sample maximum)","Weekly analysis","Montana"
"221","Class B; at or below the agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Total nitrogen","Not specified","A minimum of monthly analysis during periods of use (including prior to seasonal startup)","Montana"
"222","Class B; at or below the agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","Phosphorusa","Not specified","Not specified","Montana"
"223","Class C; at or below the agronomic uptake rate (Spray irrigation of sod, ornamental plants for commercial use and pasture to which milking cows or goats have access, crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents)","Municipal wastewater","Total coliform","=23 CFU/100 mL (7-day median)

			=240 CFU/100 mL (single sample maximum)","A minimum of monthly analysis during periods of use (including prior to seasonal startup)","Montana"
"224","Class C; at or below the agronomic uptake rate (Spray irrigation of sod, ornamental plants for commercial use and pasture to which milking cows or goats have access, crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents)","Municipal wastewater","Total nitrogen","Not specified","A minimum of monthly analysis during periods of use (including prior to seasonal startup)","Montana"
"225","Class C; at or below the agronomic uptake rate (Spray irrigation of sod, ornamental plants for commercial use and pasture to which milking cows or goats have access, crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents)","Municipal wastewater","Disinfectant residual","Not specified","Weekly if chemical disinfection is being utilized","Montana"
"226","Class D; at or below the agronomic uptake rate (Drip or subsurface irrigation of trees; Spray irrigation of trees and fodder, fiber and seed crops","Municipal wastewater","Total nitrogen","Not specified","A minimum of monthly analysis during periods of use (including prior to seasonal startup)","Montana"
"227","Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","pH","Specific value not provided","At a minimum, annually. The effluent shall be sampled on the first day of land application.","Nebraska"
"228","Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","Total Nitrogen","Specific value not provided","At a minimum, annually. The effluent shall be sampled on the first day of land application.","Nebraska"
"229","Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","Nitrate as Nitrogen","Specific value not provided","At a minimum, annually. The effluent shall be sampled on the first day of land application.","Nebraska"
"230","Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","Ammonia as Nitrogen","Specific value not provided","At a minimum, annually. The effluent shall be sampled on the first day of land application.","Nebraska"
"231","Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","Total dissolved solids (TSS)","Specific value not provided","At a minimum, annually. The effluent shall be sampled on the first day of land application.","Nebraska"
"232","Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","Chloride","Specific value not provided","At a minimum, annually. The effluent shall be sampled on the first day of land application.","Nebraska"
"233","Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","Phosphorus and Sodium Adsorption Ratio (SAR)","Specific value not provided","At a minimum, annually. The effluent shall be sampled on the first day of land application.","Nebraska"
"234","Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","Fecal coliforms","= 30 CFU/100 mL (shall not exceed for a 30-day average)

			= 400 CFU/100 mL (shall not exceed for >10% of samples)","Sampling/monitoring frequency not reported. Invalid test results for fecal coliform colonies, such as “too numerous to count” (TNTC), will not be accepted and the permittee must retest within 24 hours after obtaining invalid results. The DEQ shall be notified within 24 hours of a TNTC or other invalid result.","Nebraska"
"235","Reuse Category A (Irrigation of food crops)","Municipal wastewater","Same pH, BOD5 and TSS requirements as Reuse Category D water.","Same pH, BOD5 and TSS requirements as Reuse Category D water.","Same pH, BOD5 and TSS requirements as Reuse Category D water.","Nevada"
"236","Reuse Category A (Irrigation of food crops)","Municipal wastewater","Total coliform","=2.2 CFU or MPN/100 mL (30-day geometric mean)

			=23 CFU or MPN/100 mL (single sample maximum)","Reclaimed water must meet these bacteriological quality requirements prior to the reuse activity","Nevada"
"237","Reuse Category A (Irrigation of food crops)","Municipal wastewater","Nitrogena","Not specified","Not specified","Nevada"
"238","Reuse Category A (Irrigation of food crops)","Municipal wastewater","Phosphorus","Not specified","Not specified","Nevada"
"239","Reuse Category C (Watering of nursery stock where public access is restricted)","Municipal wastewater","Same pH, BOD5 and TSS requirements as Reuse Category D water.","Same pH, BOD5 and TSS requirements as Reuse Category D water.","Same pH, BOD5 and TSS requirements as Reuse Category D water.","Nevada"
"240","Reuse Category C (Watering of nursery stock where public access is restricted)","Municipal wastewater","Fecal coliform","=23 CFU or MPN/100 mL (30-day geometric mean)

			=240 CFU or MPN/100 mL (single sample maximum)","Reclaimed water must meet these bacteriological quality requirements prior to the reuse activity","Nevada"
"241","Reuse Category C (Watering of nursery stock where public access is restricted)","Municipal wastewater","Nitrogena","Not specified","Not specified","Nevada"
"242","Reuse Category C (Watering of nursery stock where public access is restricted)","Municipal wastewater","Phosphorus","Not specified","Not specified","Nevada"
"243","Reuse Category D (Surface irrigation for agricultural purposes and the cultivation of fruit-bearing or nut-bearing trees; Subsurface irrigation of land used for agricultural purposes where public access is restricted)","Municipal wastewater","pH","6–9 (30-day average)","After secondary treatment","Nevada"
"244","Reuse Category D (Surface irrigation for agricultural purposes and the cultivation of fruit-bearing or nut-bearing trees; Subsurface irrigation of land used for agricultural purposes where public access is restricted)","Municipal wastewater","5-day inhibited biological oxygen demand (BOD5)","=30 mg/L (30-day average)","After secondary treatment","Nevada"
"245","Reuse Category D (Surface irrigation for agricultural purposes and the cultivation of fruit-bearing or nut-bearing trees; Subsurface irrigation of land used for agricultural purposes where public access is restricted)","Municipal wastewater","Total suspended solids (TSS)","=30 mg/L (30-day average)","After secondary treatment","Nevada"
"246","Reuse Category D (Surface irrigation for agricultural purposes and the cultivation of fruit-bearing or nut-bearing trees; Subsurface irrigation of land used for agricultural purposes where public access is restricted)","Municipal wastewater","Fecal coliform","=200 CFU or MPN/100 mL (30-day geometric mean)

			=400 CFU or MPN/100 mL (single sample maximum)","Reclaimed water must meet these requirements prior to the reuse activity","Nevada"
"247","Reuse Category D (Surface irrigation for agricultural purposes and the cultivation of fruit-bearing or nut-bearing trees; Subsurface irrigation of land used for agricultural purposes where public access is restricted)","Municipal wastewater","Nitrogena","Not specified","Not specified","Nevada"
"248","Reuse Category D (Surface irrigation for agricultural purposes and the cultivation of fruit-bearing or nut-bearing trees; Subsurface irrigation of land used for agricultural purposes where public access is restricted)","Municipal wastewater","Phosphorus","Not specified","Not specified","Nevada"
"249","Reuse Category E (Spray irrigation of land used for agricultural purposes if public access to the area of use is prohibited and if a buffer zone of not less than 800 feet is maintained)","Municipal wastewater","pH","6–9 (30-day average)","After secondary treatment","Nevada"
"250","Reuse Category E (Spray irrigation of land used for agricultural purposes if public access to the area of use is prohibited and if a buffer zone of not less than 800 feet is maintained)","Municipal wastewater","5-day inhibited biological oxygen demand (BOD5)","=30 mg/L (30-day average)","After secondary treatment","Nevada"
"251","Reuse Category E (Spray irrigation of land used for agricultural purposes if public access to the area of use is prohibited and if a buffer zone of not less than 800 feet is maintained)","Municipal wastewater","Total suspended solids (TSS)","=30 mg/L (30-day average)","After secondary treatment","Nevada"
"252","Reuse Category E (Spray irrigation of land used for agricultural purposes if public access to the area of use is prohibited and if a buffer zone of not less than 800 feet is maintained)","Municipal wastewater","Fecal coliform","No limit","Not specified","Nevada"
"253","Reuse Category E (Spray irrigation of land used for agricultural purposes if public access to the area of use is prohibited and if a buffer zone of not less than 800 feet is maintained)","Municipal wastewater","Nitrogena","Not specified","Not specified","Nevada"
"254","Reuse Category E (Spray irrigation of land used for agricultural purposes if public access to the area of use is prohibited and if a buffer zone of not less than 800 feet is maintained)","Municipal wastewater","Phosphorus","Not specified","Not specified","Nevada"
"255","Type II RWBR Restricted Access and Non-Edible Crop Systems (Irrigation of non-edible crops including spray irrigation of sod farms and pasturelands, or similar areas with restricted public access)","Municipal wastewater","Total nitrogen","10 mg/L","Not specified","New Jersey"
"256","Type II RWBR Restricted Access and Non-Edible Crop Systems (Irrigation of non-edible crops including spray irrigation of sod farms and pasturelands, or similar areas with restricted public access)","Municipal wastewater","Fecal coliforms","=200 fecal coliforms/100 mL (30-day geometric mean)

			=400 fecal coliforms/100 mL (7-day geometric mean)","Continuous monitoring","New Jersey"
"257","Type II RWBR Restricted Access and Non-Edible Crop Systems (Irrigation of non-edible crops including spray irrigation of sod farms and pasturelands, or similar areas with restricted public access)","Municipal wastewater","Design UV dose","75 mJ/cm2 under maximum daily flow","Dose must be based on continuous monitoring of lamp intensity, UV transmittance and flow rate.","New Jersey"
"258","Type II RWBR Restricted Access and Non-Edible Crop Systems (Irrigation of non-edible crops including spray irrigation of sod farms and pasturelands, or similar areas with restricted public access)","Municipal wastewater","Design hydraulic loading rate","2 inches/week/site","The Department may authorize a higher hydraulic loading rate if the permittee can demonstrate a higher rate is protective of the environment","New Jersey"
"259","Type II RWBR Restricted Access and Non-Edible Crop Systems (Irrigation of non-edible crops including spray irrigation of sod farms and pasturelands, or similar areas with restricted public access)","Municipal wastewater","Phosphorus","Not specified","Not specified","New Jersey"
"260","Type III RWBR Agricultural Edible Crop Systems (Spray irrigation of edible crops if those crops will be peeled, skinned, cooked or thermally processed before consumption; Irrigation using an indirect application method that precludes direct contact with the reclaimed water, such as ridge and furrow irrigation)","Municipal wastewater","Fecal coliforms","=14 fecal coliforms/100 mL (single sample maximum)

			=2.2 fecal coliforms/100 mL (7-day median)","Continuous monitoring","New Jersey"
"261","Type III RWBR Agricultural Edible Crop Systems (Spray irrigation of edible crops if those crops will be peeled, skinned, cooked or thermally processed before consumption; Irrigation using an indirect application method that precludes direct contact with the reclaimed water, such as ridge and furrow irrigation)","Municipal wastewater","Total suspended solids (TSS)","=5 mg/L (if chlorine used for disinfection)","Weekly monitoring, conditions must be met before and after disinfection for TSS or turbidity and prior to discharge to a reuse location","New Jersey"
"262","Type III RWBR Agricultural Edible Crop Systems (Spray irrigation of edible crops if those crops will be peeled, skinned, cooked or thermally processed before consumption; Irrigation using an indirect application method that precludes direct contact with the reclaimed water, such as ridge and furrow irrigation)","Municipal wastewater","Turbidity","=2 NTU (if UV used for disinfection)","Continuous monitoring, conditions must be met before and after disinfection for TSS or turbidity and prior to discharge to a reuse location","New Jersey"
"263","Type III RWBR Agricultural Edible Crop Systems (Spray irrigation of edible crops if those crops will be peeled, skinned, cooked or thermally processed before consumption; Irrigation using an indirect application method that precludes direct contact with the reclaimed water, such as ridge and furrow irrigation)","Municipal wastewater","Total nitrogen","=10 mg/L","Not specified","New Jersey"
"264","Type III RWBR Agricultural Edible Crop Systems (Spray irrigation of edible crops if those crops will be peeled, skinned, cooked or thermally processed before consumption; Irrigation using an indirect application method that precludes direct contact with the reclaimed water, such as ridge and furrow irrigation)","Municipal wastewater","Total chlorine residual","=1.0 mg/L","Maintained for a minimum contact time of 15 minutes at peak hourly flow","New Jersey"
"265","Type III RWBR Agricultural Edible Crop Systems (Spray irrigation of edible crops if those crops will be peeled, skinned, cooked or thermally processed before consumption; Irrigation using an indirect application method that precludes direct contact with the reclaimed water, such as ridge and furrow irrigation)","Municipal wastewater","Design UV dose","100 mJ/cm2 under maximum daily flow","Dose must be based on continuous monitoring of lamp intensity, UV transmittance and flow rate.","New Jersey"
"266","Type III RWBR Agricultural Edible Crop Systems (Spray irrigation of edible crops if those crops will be peeled, skinned, cooked or thermally processed before consumption; Irrigation using an indirect application method that precludes direct contact with the reclaimed water, such as ridge and furrow irrigation)","Municipal wastewater","Design hydraulic loading rate","2 inches/week/site","The Department may authorize a higher hydraulic loading rate if the permittee can demonstrate a higher rate is protective of the environment","New Jersey"
"267","Type III RWBR Agricultural Edible Crop Systems (Spray irrigation of edible crops if those crops will be peeled, skinned, cooked or thermally processed before consumption; Irrigation using an indirect application method that precludes direct contact with the reclaimed water, such as ridge and furrow irrigation)","Municipal wastewater","Phosphorus","Not specified","Not specified","New Jersey"
"268","Class 1A Reclaimed Water (Irrigation of food crops)","Domestic wastewater","5-day biochemical oxygen demand (BOD5)","10 mg/L (30-day average)

			15 mg/L (single sample maximum)","Minimum of 6-hour composite and 3 tests per week for major WWTPa and 1 test per 2 weeks for minor WWTP","New Mexico"
"269","Class 1A Reclaimed Water (Irrigation of food crops)","Domestic wastewater","Turbidity","3 NTU (30-day average); 5 NTU (single sample maximum)","Continuous monitoring","New Mexico"
"270","Class 1A Reclaimed Water (Irrigation of food crops)","Domestic wastewater","Fecal coliformb","5 organisms/100 mL (30-day average)

			23 organisms/100 mL (single sample maximum)","Grab sample at peak flow; 3 tests per week for major WWTPa and 1 test per week for minor WWTP","New Mexico"
"271","Class 1A Reclaimed Water (Irrigation of food crops)","Domestic wastewater","Total residual chlorine (TRC) or UV transmissivity","None, monitor only","Grab sample or reading at peak hourly flow; Record values at peak hourly flow when fecal coliform samples are collected","New Mexico"
"272","Class 1A Reclaimed Water (Irrigation of food crops)","Domestic wastewater","Nitrogen","Not specified","Not specified","New Mexico"
"273","Class 2 Reclaimed Water (Irrigation of sod farms, fodder, fiber and seed crops for milk-producing animals and pasture for milking cows or goats)","Domestic wastewater","5-day biochemical oxygen demand (BOD5)","30 mg/L (30-day average)

			45 mg/L (single sample maximum)","Minimum of 6-hour composite and 1 test per week for major WWTPa; Grab sample and 1 test per month for minor WWTP","New Mexico"
"274","Class 2 Reclaimed Water (Irrigation of sod farms, fodder, fiber and seed crops for milk-producing animals and pasture for milking cows or goats)","Domestic wastewater","Total suspended solids (TSS)","30 mg/L (30-day average)

			45 mg/L (single sample maximum)","Minimum of 6-hour composite and 1 test per week for major WWTPa; Grab sample and 1 test per month for minor WWTP","New Mexico"
"275","Class 2 Reclaimed Water (Irrigation of sod farms, fodder, fiber and seed crops for milk-producing animals and pasture for milking cows or goats)","Domestic wastewater","Fecal coliformb","200 organisms/100 mL (30-day average)

			400 organisms/100 mL (single sample maximum)","Grab sample at peak hourly flow; 1 test per week for major WWTPa; 1 test per month for minor WWTP","New Mexico"
"276","Class 2 Reclaimed Water (Irrigation of sod farms, fodder, fiber and seed crops for milk-producing animals and pasture for milking cows or goats)","Domestic wastewater","Total residual chlorine (TRC) or UV transmissivity","None, monitor only","Grab sample or reading at peak hourly flow; Record values at peak hourly flow when fecal coliform samples are collected","New Mexico"
"277","Class 2 Reclaimed Water (Irrigation of sod farms, fodder, fiber and seed crops for milk-producing animals and pasture for milking cows or goats)","Domestic wastewater","Nitrogen","If reclaimed wastewater contains >10 mg/L, the reuse permittee must submit a Land Application Data Sheet (LADS) to ensure they will not exceed loading of 200 lbs/acre/year","Not specified","New Mexico"
"278","Class 3 Reclaimed Water (Irrigation of forest trees (silviculture), fodder, fiber and seed crops for non-milk-producing animals)","Domestic wastewater","5-day biochemical oxygen demand (BOD5)","30 mg/L (30-day average)

			45 mg/L (single sample maximum)","Minimum of 3-hour composite and 1 test per week for major WWTPa; Grab sample and 1 test per month for minor WWTP","New Mexico"
"279","Class 3 Reclaimed Water (Irrigation of forest trees (silviculture), fodder, fiber and seed crops for non-milk-producing animals)","Domestic wastewater","Total suspended solids (TSS)","30 mg/L (30-day average)

			75 mg/L (single sample maximum)","Minimum of 3-hour composite and 1 test per week for major WWTPa; Grab sample and 1 test per month for minor WWTP","New Mexico"
"280","Class 3 Reclaimed Water (Irrigation of forest trees (silviculture), fodder, fiber and seed crops for non-milk-producing animals)","Domestic wastewater","Fecal coliformb","1,000 organisms/100 mL (30-day average)

			5,000 organisms/100 mL (single sample maximum)","Grab sample at peak hourly flow; 1 test per week for major WWTPa; 1 test per month for minor WWTP","New Mexico"
"281","Class 3 Reclaimed Water (Irrigation of forest trees (silviculture), fodder, fiber and seed crops for non-milk-producing animals)","Domestic wastewater","Total residual chlorine (TRC) or UV transmissivity","None, monitor only","Grab sample or reading at peak hourly flow; Record values at peak hourly flow when fecal coliform samples are collected","New Mexico"
"282","Class 3 Reclaimed Water (Irrigation of forest trees (silviculture), fodder, fiber and seed crops for non-milk-producing animals)","Domestic wastewater","Nitrogen","If reclaimed wastewater contains >10 mg/L, the reuse permittee must submit a Land Application Data Sheet (LADS) to ensure they will not exceed loading of 200 lbs/acre/year","Not specified","New Mexico"
"283","Type 1 (Direct or indirect contact irrigation of food chain crops that will be peeled, skinned, cooked or thermally processed before consumption; Crops irrigated by direct contact with reclaimed water shall not be harvested within 24 hours of irrigation)","Municipal wastewater","5-day biochemical oxygen demand (BOD5)","=10 mg/L (monthly average)

			=15 mg/L (daily maximum)","Daily","North Carolina"
"284","Type 1 (Direct or indirect contact irrigation of food chain crops that will be peeled, skinned, cooked or thermally processed before consumption; Crops irrigated by direct contact with reclaimed water shall not be harvested within 24 hours of irrigation)","Municipal wastewater","Total suspended solids (TSS)","=5 mg/L (monthly average)

			=10 mg/L (daily maximum)","Daily","North Carolina"
"285","Type 1 (Direct or indirect contact irrigation of food chain crops that will be peeled, skinned, cooked or thermally processed before consumption; Crops irrigated by direct contact with reclaimed water shall not be harvested within 24 hours of irrigation)","Municipal wastewater","Ammonia (NH3-N)","=4 mg/L (monthly average)

			=6 mg/L (daily maximum)","Daily","North Carolina"
"286","Type 1 (Direct or indirect contact irrigation of food chain crops that will be peeled, skinned, cooked or thermally processed before consumption; Crops irrigated by direct contact with reclaimed water shall not be harvested within 24 hours of irrigation)","Municipal wastewater","E. colia","=14 organisms/100 mL (monthly geometric mean)

			=25 organisms/100 mL (daily maximum)","Daily","North Carolina"
"287","Type 1 (Direct or indirect contact irrigation of food chain crops that will be peeled, skinned, cooked or thermally processed before consumption; Crops irrigated by direct contact with reclaimed water shall not be harvested within 24 hours of irrigation)","Municipal wastewater","Turbidity","=10 NTU","Not specified","North Carolina"
"288","Type 1 (Direct or indirect contact irrigation of food chain crops that will be peeled, skinned, cooked or thermally processed before consumption; Crops irrigated by direct contact with reclaimed water shall not be harvested within 24 hours of irrigation)","Municipal wastewater","Total nitrogen","4 mg/L","Not specified","North Carolina"
"289","Type 1 (Direct or indirect contact irrigation of food chain crops that will be peeled, skinned, cooked or thermally processed before consumption; Crops irrigated by direct contact with reclaimed water shall not be harvested within 24 hours of irrigation)","Municipal wastewater","Total phosphorus","1 mg/L","Not specified","North Carolina"
"290","Type 1 (Direct or indirect contact irrigation of food chain crops that will be peeled, skinned, cooked or thermally processed before consumption; Crops irrigated by direct contact with reclaimed water shall not be harvested within 24 hours of irrigation)","Municipal wastewater","Fecal coliforma","=14 organisms/100 mL (monthly geometric mean)

			=25 organisms/100 mL (daily maximum)","Daily","North Carolina"
"291","Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","5-day biochemical oxygen demand (BOD5)","=5 mg/L (monthly average)

			=10 mg/L (daily maximum)","Daily","North Carolina"
"292","Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","Total suspended solids (TSS)","=5 mg/L (monthly average)

			=10 mg/L (daily maximum)","Daily","North Carolina"
"293","Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","Ammonia (NH3-N)","=1 mg/L (monthly average)

			=2 mg/L (daily maximum)","Daily","North Carolina"
